
delt0=    0.01  eps=   1e-07  ep=   1e-05  ep1=   0.001
ισθοδξαρ τοώλα: fi0=  46.080  teta0=  33.870  year=2015
+==================================================================+
|    Transmitter   |     Reciever     | Path length | Path azimuth |
|==================+==================|    129.90   |    -95.524   |
|Longitude:  46.080|Longitude:  44.000|-------------+--------------|
|Latitude :  56.130|Latitude :  56.000| Month:  2.3 |   W     IG   |
|Power    : 1.0e+00|Passband :   1.000|   February  |  80.0  130.0 |
+==================================================================+

+======================================+
|Initial step: 0.010                   |
|Local accuracy: 0.0000001             |
|Range accuracy:  0.0100               |
|Range limits:   30.00                 |
|Elevation angle step: 0.15            |
|Azimuth   angle step: 1.00            |
+======================================+

Geomagnetic Field - const
fh= 1.50  i=  72.0  d=  10.6
Number TID: 1
Tid Parametres
  delt   lamb     t     b      a     fi
0.200   100.0 900.0 -45.0   82.8   0.000
Chapmen many-layers Ionospher model
Ionospher Begin Higth: 60.0
Number Layers: 2
Geometric Layer Parametres
  hm     ym     f0     al
110.0    5.0   2.00   1.00
265.0   50.0  10.80   1.00
Local Gradient  gx=0.00  gy=0.00

Number diff. equation: 8

+=================================================================================================++===============+
|            Ray characteristics                       GMT time:10:30:00.00                       ||  Polarization |
|-------------------------------------------------------------------------------------------------||---------------|
|  F   | |  d1  |  d2  |  T   |   Df  |  DEV  |  L   |  Ls  |  E   | Les |          Moda          ||  a/b |   psi  |
| 6.500|x| 69.38| 75.43| 1.550| -0.130|  0.221|   1.6|  55.4|  47.8|  0.0|F2                      ||-0.983|  34.623|
| 6.600|o| 71.43| 76.39| 1.583| -0.144|  0.298|   1.0|  56.7|  47.0|  0.0|F2                      || 0.984| -57.386|
| 6.600|x| 69.48| 75.44| 1.555| -0.129|  0.220|   1.6|  55.5|  47.7|  0.0|F2                      ||-0.983|  34.603|
| 6.700|o| 71.55| 76.38| 1.590| -0.140|  0.296|   1.1|  56.8|  46.9|  0.0|F2                      || 0.984| -57.375|
| 6.700|x| 69.58| 75.45| 1.560| -0.129|  0.218|   1.5|  55.6|  47.7|  0.0|F2                      ||-0.983|  34.587|
| 6.800|o| 71.68| 76.38| 1.596| -0.137|  0.295|   1.1|  56.9|  46.8|  0.0|F2                      || 0.984| -57.362|
| 6.800|x| 69.68| 75.45| 1.566| -0.128|  0.217|   1.5|  55.7|  47.6|  0.0|F2                      ||-0.984|  34.572|
| 6.900|o| 71.80| 76.37| 1.603| -0.133|  0.293|   1.1|  57.0|  46.7|  0.0|F2                      || 0.985| -57.347|
| 6.900|x| 69.79| 75.46| 1.572| -0.127|  0.215|   1.5|  55.8|  47.5|  0.0|F2                      ||-0.984|  34.561|
| 7.000|o| 71.93| 76.36| 1.610| -0.129|  0.291|   1.1|  57.1|  46.6|  0.0|F2                      || 0.985| -57.330|
| 7.000|x| 69.89| 75.46| 1.577| -0.125|  0.213|   1.5|  55.9|  47.4|  0.0|F2                      ||-0.984|  34.554|
| 7.100|o| 72.05| 76.35| 1.617| -0.124|  0.290|   1.1|  57.2|  46.5|  0.0|F2                      || 0.985| -57.311|
| 7.100|x| 70.00| 75.47| 1.583| -0.123|  0.211|   1.5|  55.9|  47.4|  0.0|F2                      ||-0.984|  34.547|
| 7.200|o| 72.18| 76.34| 1.624| -0.120|  0.288|   1.1|  57.4|  46.4|  0.0|F2                      || 0.985| -57.288|
| 7.200|x| 70.11| 75.47| 1.589| -0.122|  0.208|   1.5|  56.0|  47.3|  0.0|F2                      ||-0.984|  34.544|
| 7.300|o| 72.31| 76.33| 1.631| -0.115|  0.286|   1.1|  57.5|  46.2|  0.0|F2                      || 0.985| -57.263|
| 7.300|x| 70.22| 75.47| 1.595| -0.120|  0.206|   1.5|  56.1|  47.2|  0.0|F2                      ||-0.985|  34.545|
| 7.400|o| 72.45| 76.32| 1.638| -0.109|  0.284|   1.1|  57.6|  46.1|  0.0|F2                      || 0.986| -57.235|
| 7.400|x| 70.34| 75.47| 1.601| -0.117|  0.203|   1.5|  56.2|  47.1|  0.0|F2                      ||-0.985|  34.549|
| 7.500|o| 72.58| 76.31| 1.645| -0.103|  0.283|   1.1|  57.7|  46.0|  0.0|F2                      || 0.986| -57.206|
| 7.500|x| 70.45| 75.46| 1.607| -0.115|  0.200|   1.5|  56.3|  47.0|  0.0|F2                      ||-0.985|  34.553|
| 7.600|o| 72.72| 76.29| 1.653| -0.097|  0.281|   1.1|  57.8|  45.9|  0.0|F2                      || 0.986| -57.175|
| 7.600|x| 70.57| 75.46| 1.613| -0.112|  0.197|   1.5|  56.4|  46.9|  0.0|F2                      ||-0.985|  34.560|
| 7.700|o| 72.86| 76.28| 1.661| -0.091|  0.279|   1.1|  57.9|  45.7|  0.0|F2                      || 0.986| -57.141|
| 7.700|x| 70.69| 75.45| 1.620| -0.109|  0.194|   1.5|  56.5|  46.8|  0.0|F2                      ||-0.985|  34.571|
| 7.800|o| 73.01| 76.26| 1.669| -0.084|  0.277|   1.1|  58.1|  45.6|  0.0|F2                      || 0.986| -57.104|
| 7.800|x| 70.81| 75.45| 1.626| -0.105|  0.191|   1.5|  56.6|  46.7|  0.0|F2                      ||-0.986|  34.586|
| 7.900|o| 73.15| 76.24| 1.677| -0.076|  0.275|   1.1|  58.2|  45.5|  0.0|F2                      || 0.986| -57.065|
| 7.900|x| 70.93| 75.44| 1.633| -0.102|  0.187|   1.5|  56.7|  46.6|  0.0|F2                      ||-0.986|  34.602|
| 8.000|o| 73.30| 76.22| 1.685| -0.068|  0.274|   1.2|  58.3|  45.3|  0.0|F2                      || 0.987| -57.023|
| 8.000|x| 71.05| 75.43| 1.640| -0.098|  0.184|   1.5|  56.8|  46.5|  0.0|F2                      ||-0.986|  34.620|
| 8.100|o| 73.45| 76.20| 1.693| -0.060|  0.272|   1.2|  58.5|  45.2|  0.0|F2                      || 0.987| -56.978|
| 8.100|x| 71.18| 75.42| 1.647| -0.093|  0.180|   1.5|  56.9|  46.4|  0.0|F2                      ||-0.986|  34.641|
| 8.200|o| 73.61| 76.18| 1.702| -0.051|  0.270|   1.2|  58.6|  45.0|  0.0|F2                      || 0.987| -56.930|
| 8.200|x| 71.31| 75.41| 1.654| -0.089|  0.176|   1.5|  57.0|  46.3|  0.0|F2                      ||-0.986|  34.665|
| 8.300|o| 73.77| 76.15| 1.711| -0.042|  0.269|   1.2|  58.7|  44.9|  0.0|F2                      || 0.987| -56.879|
| 8.300|x| 71.44| 75.39| 1.661| -0.084|  0.172|   1.5|  57.1|  46.2|  0.0|F2                      ||-0.986|  34.692|
| 8.400|o| 73.93| 76.13| 1.720| -0.032|  0.267|   1.2|  58.9|  44.7|  0.0|F2                      || 0.987| -56.825|
| 8.400|x| 71.57| 75.38| 1.668| -0.078|  0.167|   1.5|  57.2|  46.1|  0.0|F2                      ||-0.987|  34.723|
| 8.500|o| 74.09| 76.10| 1.730| -0.022|  0.265|   1.2|  59.0|  44.5|  0.0|F2                      || 0.987| -56.768|
| 8.500|x| 71.71| 75.36| 1.675| -0.073|  0.163|   1.5|  57.4|  46.0|  0.0|F2                      ||-0.987|  34.756|
| 8.600|o| 74.26| 76.07| 1.739| -0.011|  0.264|   1.3|  59.2|  44.3|  0.0|F2                      || 0.987| -56.710|
| 8.600|x| 71.84| 75.35| 1.683| -0.067|  0.158|   1.5|  57.5|  45.9|  0.0|F2                      ||-0.987|  34.793|
| 8.700|o| 74.43| 76.04| 1.750|  0.000|  0.263|   1.3|  59.4|  44.2|  0.0|F2                      || 0.988| -56.650|
| 8.700|x| 71.98| 75.33| 1.691| -0.060|  0.153|   1.5|  57.6|  45.7|  0.0|F2                      ||-0.987|  34.831|
| 8.800|o| 74.60| 76.01| 1.760|  0.013|  0.261|   1.3|  59.5|  44.0|  0.0|F2                      || 0.988| -56.580|
