
[strDate]   [strTime]   [Frq_rpu]    [Frq_meg]    [Band]  [E]   [S_N] [Att]  [B]     [A]    [S0]  [aIRI0]   [Lat0]  [Lon0]   [S1]  [aIRI1]  [Lat1]  [Lon1]   [S2]  [aIRI2]  [Lat2]  [Lon2] [Sigm] [Time_sec]  [Cource]  [BaseLat]  [BaseLon]  [TypeSignalName]  [DispApd]  [Dopler]  [Delay]
04.04.2019 22:03:48.482   4.99600000   4995.99992   0.62  -31.1   47.1  28.0 25.20  352.1  1170.8  352.69   57.53   37.33  2408.9  353.68   68.53   33.44  3742.1  355.48   80.36   24.70    1.5     79428.482     13.50   47.10740   39.80800  "Undefined"      63.5       -0.08  0.00000000
04.04.2019 22:03:59.534   4.99600000   4995.99992   0.55  -30.9   47.9  28.0 24.60  352.1  1189.1  352.68   57.69   37.27  2441.3  353.68   68.82   33.26  3774.4  355.49   80.63   24.17    1.2     79439.534     13.50   47.10740   39.80800  "Undefined"      62.7       -0.08  0.00000000
04.04.2019 22:04:09.954   4.99600000   4995.99996   0.53  -33.2   45.6  28.0 25.80  351.4  1151.9  352.03   57.34   37.16  2370.2  353.06   68.15   33.03  3690.1  354.93   79.82   23.94    1.2     79449.954     13.50   47.10740   39.80800  "Undefined"      62.8       -0.04  0.00000000
04.04.2019 22:04:20.303   4.99600000   4995.99996   0.46  -35.6   43.2  28.0 24.00  351.3  1206.7  351.98   57.83   36.98  2467.2  353.02   68.99   32.45  3787.2  354.96   80.64   22.19    1.2     79460.303     13.50   47.10740   39.80800  "Undefined"       0.0       -0.04  0.00000000
04.04.2019 22:04:31.359   4.99600000   4995.99994   0.55  -30.5   48.0  28.0 22.80  352.1  1249.0  352.66   58.22   37.10  2549.3  353.67   69.77   32.67  3889.7  355.58   81.63   22.16    1.2     79471.359     13.50   47.10740   39.80800  "Undefined"      62.4       -0.06  0.00000000
04.04.2019 22:04:42.412   4.99600000   4995.99996   0.62  -28.3   49.2  28.0 25.20  352.1  1170.8  352.70   57.53   37.33  2409.0  353.70   68.54   33.45  3742.5  355.49   80.36   24.72    1.3     79482.412     13.50   47.10740   39.80800  "Undefined"       0.0       -0.04  0.00000000
04.04.2019 22:04:53.471   4.99600000   4995.99995   0.46  -35.9   43.8  28.0 28.20  352.1  1090.8  352.73   56.82   37.55  2271.9  353.75   67.33   34.14     0.0  352.08    0.00    0.00    1.2     79493.471     13.50   47.10740   39.80800  "Undefined"      63.1       -0.05  0.00000000
04.04.2019 22:05:04.515   4.99600000   4995.99995   0.62  -26.3   51.3  28.0 24.60  352.1  1189.1  352.69   57.69   37.28  2441.4  353.68   68.82   33.27  3774.6  355.50   80.64   24.18    1.2     79504.515     13.50   47.10740   39.80800  "Undefined"       0.0       -0.05  0.00000000
04.04.2019 22:05:14.848   4.99600000   4995.99995   0.55  -31.5   46.5  28.0 25.80  352.1  1153.3  352.71   57.38   37.38  2378.4  353.71   68.27   33.61  3711.1  355.48   80.09   25.23    1.2     79514.848     13.50   47.10740   39.80800  "Undefined"       0.0       -0.05  0.00000000
04.04.2019 22:05:26.289   4.99600000   4995.99990   0.62  -27.8   49.7  28.0 27.60  352.1  1105.2  352.71   56.95   37.51  2295.3  353.72   67.54   34.02  3705.7  355.64   80.07   25.77    1.2     79526.289     13.50   47.10740   39.80800  "Undefined"       0.0       -0.10  0.00000000
04.04.2019 22:05:37.358   4.99600000   4995.99995   0.55  -32.8   46.0  28.0 27.00  351.4  1150.1  352.05   57.33   37.17  2400.3  353.15   68.42   32.96     0.0  351.38    0.00    0.00    1.2     79537.358     13.50   47.10740   39.80800  "Undefined"      62.1       -0.05  0.00000000
04.04.2019 22:05:48.508   4.99600000   4995.99998   0.55  -33.4   43.4  28.0 19.20  352.1  1426.0  352.70   59.79   36.59  2888.3  353.84   72.75   30.69     0.0  352.09    0.00    0.00    1.2     79548.508     13.50   47.10740   39.80800  "Undefined"      62.5       -0.02  0.00000000
04.04.2019 22:05:58.848   4.99600000   4995.99991   0.53  -30.9   47.3  28.0 21.00  352.1  1346.7  352.68   59.09   36.83  2745.8  353.77   71.50   31.59     0.0  352.08    0.00    0.00    1.2     79558.848     13.50   47.10740   39.80800  "Undefined"       0.0       -0.09  0.00000000
04.04.2019 22:06:09.241   4.99600000   4995.99992   0.46  -31.6   47.1  28.0 28.20  352.1  1122.6  352.74   57.10   37.47  2369.5  353.82   68.20   33.76     0.0  352.07    0.00    0.00    1.2     79569.241     13.50   47.10740   39.80800  "Undefined"       0.0       -0.08  0.00000000
04.04.2019 22:06:20.293   4.99600000   4995.99996   0.62  -29.3   48.9  28.0 27.60  352.1  1136.7  352.73   57.23   37.43  2387.5  353.80   68.36   33.66     0.0  352.08    0.00    0.00    1.1     79580.293     13.50   47.10740   39.80800  "Undefined"      62.3       -0.04  0.00000000
04.04.2019 22:06:31.402   4.99600000   4995.99995   0.55  -28.5   50.3  28.0 27.60  352.1  1136.5  352.71   57.23   37.43  2387.2  353.79   68.35   33.64     0.0  352.06    0.00    0.00    1.2     79591.402     13.50   47.10740   39.80800  "Undefined"      62.2       -0.05  0.00000000
