  0.00 49.64  820.63 -177.64 F2F2            
  0.00 50.44 1221.70 -178.12 F2F2F2          
  0.00  0.00    0.00    0.00 E               
  0.00 49.64  820.63 -177.64 F2F2            
  0.00 50.44 1221.70 -178.12 F2F2F2          
  0.10  0.72 2200.93  -53.39 E               
  0.10  0.71 4332.83  -53.38 EE              
  0.10  0.00    0.00    0.00                 
 57.39 56.09  339.90   25.06 F2              
 57.39 54.08  710.53   25.64 F2F2            
 57.39 51.15 1132.19   26.12 F2F2F2          
 23.90 24.43  847.52  -40.30 F2              
 23.90 24.61 1682.44  -39.90 F2F2            
 23.90 24.37 2531.49  -39.37 F2F2F2          
 55.06 54.06  361.55    8.32 F2              
 55.06 52.26  751.67    9.16 F2F2            
 55.06 49.35 1193.37   10.02 F2F2F2          
 43.25 42.84  492.20  -12.50 F2              
 43.25 41.57 1012.84  -11.73 F2F2            
 43.25 39.10 1594.74  -10.77 F2F2F2          
 39.14 38.46  552.49   -1.57 F2              
 39.14 36.64 1150.51   -0.94 F2F2            
 39.14 33.21 1852.05   -0.19 F2F2F2          
  0.00  0.00    0.00    0.00 E               
  0.00 36.64 1150.51   -0.94 F2F2            
  0.00 33.21 1852.05   -0.19 F2F2F2          
  0.00  0.00    0.00    0.00 Es              
  0.00 36.64 1150.51   -0.94 F2F2            
  0.00 33.21 1852.05   -0.19 F2F2F2          
  0.00  0.00    0.00    0.00 Es              
  0.00 36.64 1150.51   -0.94 F2F2            
  0.00 33.21 1852.05   -0.19 F2F2F2          
  0.00  0.00    0.00    0.00 Es              
  0.00 36.64 1150.51   -0.94 F2F2            
  0.00 33.21 1852.05   -0.19 F2F2F2          
  0.00  0.00    0.00    0.00 E               
  0.00 36.64 1150.51   -0.94 F2F2            
  0.00 33.21 1852.05   -0.19 F2F2F2          
  0.00  0.00    0.00    0.00 Es              
  0.00 36.64 1150.51   -0.94 F2F2            
  0.00 33.21 1852.05   -0.19 F2F2F2          
  0.00  0.00    0.00    0.00 Es              
  0.00 36.64 1150.51   -0.94 F2F2            
  0.00 33.21 1852.05   -0.19 F2F2F2          
  0.00  0.00    0.00    0.00 E               
