
[strDate]   [strTime]   [Frq_rpu]    [Frq_meg]    [Band]  [E]   [S_N] [Att]  [B]     [A]    [S0]  [aIRI0]   [Lat0]  [Lon0]   [S1]  [aIRI1]  [Lat1]  [Lon1]   [S2]  [aIRI2]  [Lat2]  [Lon2] [Sigm] [Time_sec]  [Cource]  [BaseLat]  [BaseLon]  [TypeSignalName]  [DispApd]  [Dopler]  [Delay]
04.04.2019 03:08:15.530   4.99600000   4995.99991   0.07  -74.9   10.4  28.0 32.40  357.1     0.0  357.12    0.00    0.00     0.0  357.12    0.00    0.00     0.0  357.12    0.00    0.00    1.2     11295.530     13.50   47.24000   39.71000  "Undefined"       0.0       -0.09  0.00000000
04.04.2019 03:08:25.368   4.99600000   4996.00068   0.07  -74.2   11.0  28.0 32.40  356.4     0.0  356.40    0.00    0.00     0.0  356.40    0.00    0.00     0.0  356.40    0.00    0.00    1.4     11305.368     13.50   47.24000   39.71000  "Undefined"       0.0        0.68  0.00000000
04.04.2019 03:08:35.982   4.99600000   4996.00154   0.07  -81.0    4.2  28.0 39.60  354.2     0.0  354.24    0.00    0.00     0.0  354.24    0.00    0.00     0.0  354.24    0.00    0.00    1.9     11315.982     13.50   47.24000   39.71000  "Undefined"       0.0        1.54  0.00000000
04.04.2019 03:08:48.008   4.99600000   4995.99988   0.07  -71.4   13.9  28.0 32.40  356.4     0.0  356.38    0.00    0.00     0.0  356.38    0.00    0.00     0.0  356.38    0.00    0.00    1.2     11328.008     13.50   47.24000   39.71000  "Undefined"       0.0       -0.12  0.00000000
04.04.2019 03:08:57.843   4.99600000   4995.99973   0.60  -44.9   30.7  28.0 30.60  355.7     0.0  355.68    0.00    0.00     0.0  355.68    0.00    0.00     0.0  355.68    0.00    0.00    1.4     11337.843     13.50   47.24000   39.71000  "Undefined"       0.0       -0.27  0.00000000
04.04.2019 03:09:08.407   4.99600000   4995.99984   0.62  -38.4   37.1  28.0 31.20  356.4     0.0  356.40    0.00    0.00     0.0  356.40    0.00    0.00     0.0  356.40    0.00    0.00    1.2     11348.407     13.50   47.24000   39.71000  "Undefined"       0.0       -0.16  0.00000000
04.04.2019 03:09:19.309   4.99600000   4995.99950   0.62  -43.4   30.1  28.0 32.40  355.0     0.0  354.96    0.00    0.00     0.0  354.96    0.00    0.00     0.0  354.96    0.00    0.00    1.3     11359.309     13.50   47.24000   39.71000  "Undefined"       0.0       -0.50  0.00000000
04.04.2019 03:09:30.228   4.99600000   4995.99998   0.53  -47.6   28.6  28.0 27.00  357.1     0.0  357.11    0.00    0.00     0.0  357.11    0.00    0.00     0.0  357.11    0.00    0.00    1.4     11370.228     13.50   47.24000   39.71000  "Undefined"       0.0       -0.02  0.00000000
04.04.2019 03:09:40.059   4.99600000   4996.00012   0.62  -42.3   33.2  28.0 30.60  356.4     0.0  356.41    0.00    0.00     0.0  356.41    0.00    0.00     0.0  356.41    0.00    0.00    1.2     11380.059     13.50   47.24000   39.71000  "Undefined"       0.0        0.12  0.00000000
04.04.2019 03:09:50.959   4.99600000   4995.99986   0.07  -73.6   11.6  28.0 31.20  355.7     0.0  355.69    0.00    0.00     0.0  355.69    0.00    0.00     0.0  355.69    0.00    0.00    1.2     11390.959     13.50   47.24000   39.71000  "Undefined"       0.0       -0.14  0.00000000
04.04.2019 03:10:01.139   4.99600000   4995.99990   0.11  -48.1   34.9  28.0 30.60  357.1     0.0  357.11    0.00    0.00     0.0  357.11    0.00    0.00     0.0  357.11    0.00    0.00    1.8     11401.139     13.50   47.24000   39.71000  "Undefined"       0.0       -0.10  0.00000000
04.04.2019 03:10:10.989   4.99600000   4996.00006   0.11  -51.7   31.3  28.0 27.60  357.8     0.0  357.84    0.00    0.00     0.0  357.84    0.00    0.00     0.0  357.84    0.00    0.00    1.8     11410.989     13.50   47.24000   39.71000  "Undefined"       0.0        0.06  0.00000000
04.04.2019 03:10:20.840   4.99600000   4995.99946   0.55  -42.1   34.0  28.0 32.40  355.7     0.0  355.66    0.00    0.00     0.0  355.66    0.00    0.00     0.0  355.66    0.00    0.00    1.2     11420.840     13.50   47.24000   39.71000  "Undefined"       0.0       -0.54  0.00000000
04.04.2019 03:10:35.351   4.99600000   4996.00009   0.46  -42.9   33.9  28.0 33.60  355.0     0.0  354.97    0.00    0.00     0.0  354.97    0.00    0.00     0.0  354.97    0.00    0.00    1.4     11435.351     13.50   47.24000   39.71000  "Undefined"       0.0        0.09  0.00000000
04.04.2019 03:10:45.194   4.99600000   4995.99975   0.07  -69.4   15.9  28.0 33.00  355.0     0.0  354.95    0.00    0.00     0.0  354.95    0.00    0.00     0.0  354.95    0.00    0.00    1.2     11445.194     13.50   47.24000   39.71000  "Undefined"       0.0       -0.25  0.00000000
04.04.2019 03:10:56.114   4.99600000   4996.00013   0.07  -71.6   13.6  28.0 33.60  354.2     0.0  354.24    0.00    0.00     0.0  354.24    0.00    0.00     0.0  354.24    0.00    0.00    1.3     11456.114     13.50   47.24000   39.71000  "Undefined"       0.0        0.13  0.00000000
04.04.2019 03:11:17.941   4.99600000   4996.00012   0.11  -48.6   34.4  28.0 25.80  357.1     0.0  357.12    0.00    0.00     0.0  357.12    0.00    0.00     0.0  357.12    0.00    0.00    1.5     11477.941     13.50   47.24000   39.71000  "Undefined"       0.0        0.12  0.00000000
04.04.2019 03:11:28.499   4.99600000   4996.00053   0.62  -43.1   32.4  28.0 29.40  355.7     0.0  355.68    0.00    0.00     0.0  355.68    0.00    0.00     0.0  355.68    0.00    0.00    1.3     11488.499     13.50   47.24000   39.71000  "Undefined"       0.0        0.53  0.00000000
04.04.2019 03:11:38.336   4.99600000   4995.99939   0.62  -43.8   31.8  28.0 25.20  356.4     0.0  356.39    0.00    0.00     0.0  356.39    0.00    0.00     0.0  356.39    0.00    0.00    1.2     11498.336     13.50   47.24000   39.71000  "Undefined"       0.0       -0.61  0.00000000
04.04.2019 03:11:48.179   4.99600000   4995.99919   0.11  -67.3   15.7  28.0 30.00  354.3     0.0  354.25    0.00    0.00     0.0  354.25    0.00    0.00     0.0  354.25    0.00    0.00    1.3     11508.179     13.50   47.24000   39.71000  "Undefined"       0.0       -0.81  0.00000000
04.04.2019 03:11:58.027   4.99600000   4995.99991   0.11  -67.7   15.4  28.0 31.20  354.2     0.0  354.24    0.00    0.00     0.0  354.24    0.00    0.00     0.0  354.24    0.00    0.00    1.3     11518.027     13.50   47.24000   39.71000  "Undefined"       0.0       -0.09  0.00000000
04.04.2019 03:12:07.879   4.99600000   4995.99993   0.58  -45.2   30.7  28.0 33.60  352.8     0.0  352.80    0.00    0.00     0.0  352.80    0.00    0.00     0.0  352.80    0.00    0.00    1.9     11527.879     13.50   47.24000   39.71000  "Undefined"       0.0       -0.07  0.00000000
04.04.2019 03:12:28.261   4.99600000   4996.00059   0.53  -47.1   29.1  28.0 31.20  354.2     0.0  354.23    0.00    0.00     0.0  354.23    0.00    0.00     0.0  354.23    0.00    0.00    1.9     11548.261     13.50   47.24000   39.71000  "Undefined"       0.0        0.59  0.00000000
04.04.2019 03:12:38.107   4.99600000   4995.99959   0.11  -68.6   14.4  28.0 31.80  352.8     0.0  352.81    0.00    0.00     0.0  352.81    0.00    0.00     0.0  352.81    0.00    0.00    1.3     11558.107     13.50   47.24000   39.71000  "Undefined"       0.0       -0.41  0.00000000
04.04.2019 03:12:47.934   4.99600000   4995.99970   0.18  -43.5   37.5  28.0 31.80  352.8     0.0  352.81    0.00    0.00     0.0  352.81    0.00    0.00     0.0  352.81    0.00    0.00    1.2     11567.934     13.50   47.24000   39.71000  "Undefined"       0.0       -0.30  0.00000000
04.04.2019 03:12:58.498   4.99600000   4996.00029   0.62  -52.0   23.6  28.0 28.20  353.5     0.0  353.51    0.00    0.00     0.0  353.51    0.00    0.00     0.0  353.51    0.00    0.00    1.4     11578.498     13.50   47.24000   39.71000  "Undefined"       0.0        0.29  0.00000000
04.04.2019 03:13:09.423   4.99600000   4995.99980   0.62  -49.1   26.4  28.0 28.80  353.5     0.0  353.52    0.00    0.00     0.0  353.52    0.00    0.00     0.0  353.52    0.00    0.00    1.3     11589.423     13.50   47.24000   39.71000  "Undefined"       0.0       -0.20  0.00000000
04.04.2019 03:13:19.289   4.99600000   4995.99946   0.22  -44.2   35.8  28.0 31.20  353.5     0.0  353.51    0.00    0.00     0.0  353.51    0.00    0.00     0.0  353.51    0.00    0.00    1.2     11599.289     13.50   47.24000   39.71000  "Undefined"       0.0       -0.54  0.00000000
04.04.2019 03:13:29.130   4.99600000   4995.99991   0.07  -72.5   12.8  28.0 30.60  353.5     0.0  353.51    0.00    0.00     0.0  353.51    0.00    0.00     0.0  353.51    0.00    0.00    1.4     11609.130     13.50   47.24000   39.71000  "Undefined"       0.0       -0.09  0.00000000
04.04.2019 03:13:38.975   4.99600000   4995.99995   0.33  -47.4   30.8  28.0 30.60  352.8     0.0  352.81    0.00    0.00     0.0  352.81    0.00    0.00     0.0  352.81    0.00    0.00    1.4     11618.975     13.50   47.24000   39.71000  "Undefined"       0.0       -0.05  0.00000000
04.04.2019 03:13:49.535   4.99600000   4996.00051   0.62  -43.3   32.2  28.0 33.00  352.1     0.0  352.09    0.00    0.00     0.0  352.09    0.00    0.00     0.0  352.09    0.00    0.00    1.2     11629.535     13.50   47.24000   39.71000  "Undefined"       0.0        0.51  0.00000000
04.04.2019 03:13:59.376   4.99600000   4996.00130   0.55  -52.8   23.2  28.0 28.80  352.8     0.0  352.79    0.00    0.00     0.0  352.79    0.00    0.00     0.0  352.79    0.00    0.00    1.8     11639.376     13.50   47.24000   39.71000  "Undefined"       0.0        1.30  0.00000000
04.04.2019 03:14:09.229   4.99600000   4995.99725   0.58  -57.3   18.6  28.0 34.20  351.4     0.0  351.36    0.00    0.00     0.0  351.36    0.00    0.00     0.0  351.36    0.00    0.00    1.5     11649.229     13.50   47.24000   39.71000  "Undefined"       0.0       -2.75  0.00000000
04.04.2019 03:14:19.077   4.99600000   4995.99839   0.09  -75.0    9.0  28.0 33.00  351.4     0.0  351.35    0.00    0.00     0.0  351.35    0.00    0.00     0.0  351.35    0.00    0.00    1.2     11659.077     13.50   47.24000   39.71000  "Undefined"       0.0       -1.61  0.00000000
04.04.2019 03:14:39.469   4.99600000   4995.99934   0.62  -46.9   28.6  28.0 33.61  351.4     0.0  351.36    0.00    0.00     0.0  351.36    0.00    0.00     0.0  351.36    0.00    0.00    1.2     11679.469     13.50   47.24000   39.71000  "Undefined"       0.0       -0.66  0.00000000
04.04.2019 03:14:50.769   4.99600000   4995.99890   0.07  -80.3    5.0  28.0 31.20  352.1     0.0  352.08    0.00    0.00     0.0  352.08    0.00    0.00     0.0  352.08    0.00    0.00    1.9     11690.769     13.50   47.24000   39.71000  "Undefined"       0.0       -1.10  0.00000000
04.04.2019 03:15:01.325   4.99600000   4995.99923   0.62  -45.7   29.8  28.0 33.00  351.4     0.0  351.37    0.00    0.00     0.0  351.37    0.00    0.00     0.0  351.37    0.00    0.00    1.4     11701.325     13.50   47.24000   39.71000  "Undefined"       0.0       -0.77  0.00000000
04.04.2019 03:15:20.990   4.99600000   4996.00019   0.49  -47.2   32.0  28.0 34.20  351.3     0.0  351.34    0.00    0.00     0.0  351.34    0.00    0.00     0.0  351.34    0.00    0.00    1.2     11720.990     13.50   47.24000   39.71000  "Undefined"      63.2        0.19  0.00000000
04.04.2019 03:15:41.360   4.99600000   4996.00137   0.62  -43.9   31.6  28.0 33.60  351.3     0.0  351.35    0.00    0.00     0.0  351.35    0.00    0.00     0.0  351.35    0.00    0.00    1.2     11741.360     13.50   47.24000   39.71000  "Undefined"       0.0        1.37  0.00000000
04.04.2019 03:15:51.191   4.99600000   4996.00036   0.07  -75.4    9.8  28.0 33.60  350.6     0.0  350.64    0.00    0.00     0.0  350.64    0.00    0.00     0.0  350.64    0.00    0.00    1.6     11751.191     13.50   47.24000   39.71000  "Undefined"       0.0        0.36  0.00000000
04.04.2019 03:16:01.014   4.99600000   4996.00262   0.60  -49.6   26.1  28.0 30.00  350.6     0.0  350.64    0.00    0.00     0.0  350.64    0.00    0.00     0.0  350.64    0.00    0.00    1.9     11761.014     13.50   47.24000   39.71000  "Undefined"       0.0        2.62  0.00000000
04.04.2019 03:16:11.958   4.99600000   4995.99966   0.62  -45.9   29.6  28.0 34.21  351.3     0.0  351.34    0.00    0.00     0.0  351.34    0.00    0.00     0.0  351.34    0.00    0.00    1.2     11771.958     13.50   47.24000   39.71000  "Undefined"       0.0       -0.34  0.00000000
04.04.2019 03:16:22.516   4.99600000   4996.00199   0.51  -50.5   25.9  28.0 25.80  351.4     0.0  351.35    0.00    0.00     0.0  351.35    0.00    0.00     0.0  351.35    0.00    0.00    1.5     11782.516     13.50   47.24000   39.71000  "Undefined"       0.0        1.99  0.00000000
