 11.32 16.77 3842.51   97.22 F2F2F2          
  9.54 13.85 1627.60   94.55 F2              
  9.54 15.12 2875.86   94.50 F2F2            
  9.54 14.92 4089.79   94.54 F2F2F2          
 13.12 17.26 1419.03   97.70 F2              
 13.12 18.83 2539.50   97.62 F2F2            
 13.12 18.80 3610.98   97.65 F2F2F2          
  0.00  0.00    0.00    0.00                 
  0.00 18.83 2539.50   97.62 F2F2            
  0.00 18.80 3610.98   97.65 F2F2F2          
 10.62 14.86 1557.61   95.03 F2              
 10.62 16.24 2763.39   94.97 F2F2            
 10.62 16.10 3927.01   95.01 F2F2F2          
 22.10 26.65 1174.66   92.21 F2              
 22.10 29.15 2099.36   91.82 F2F2            
 22.10 29.99 2942.91   91.67 F2F2F2          
  9.00 13.36 1665.40   93.05 F2              
  9.00 14.60 2931.67   93.00 F2F2            
  9.00 14.39 4162.40   93.03 F2F2F2          
 21.56 26.00 1177.94   91.43 F2              
 21.56 28.48 2109.86   91.06 F2F2            
 21.56 29.33 2959.42   90.91 F2F2F2          
 14.37 18.48 1367.60   93.13 F2              
 14.37 20.34 2446.58   92.99 F2F2            
 14.37 20.57 3455.17   92.99 F2F2F2          
 13.19 17.33 1418.69   94.47 F2              
 13.19 19.02 2533.71   94.37 F2F2            
 13.19 19.09 3587.64   94.39 F2F2F2          
  9.85 14.13 1605.61   94.24 F2              
  9.85 15.43 2840.28   94.19 F2F2            
  9.85 15.24 4037.26   94.23 F2F2F2          
 24.21 29.43 1223.58   90.27 F2              
 24.21 32.08 2138.46   89.74 F2F2            
 24.21 33.01 2969.01   89.48 F2F2F2          
 25.13 31.63 1372.21   93.60 F2              
 25.13 33.99 2284.27   93.07 F2F2            
 25.13 34.52 3124.30   92.87 F2F2F2          
 21.01 25.39 1177.68   93.49 F2              
 21.01 27.76 2113.94   93.18 F2F2            
 21.01 28.48 2972.73   93.07 F2F2F2          
 11.14 15.34 1526.05   94.22 F2              
 11.14 16.81 2710.43   94.14 F2F2            
 11.14 16.71 3845.93   94.18 F2F2F2          
 24.67 30.34 1307.55   85.85 F2              
 24.67 33.07 2234.79   85.16 F2F2            
 24.67 34.10 3072.20   84.78 F2F2F2          
 20.09 24.38 1188.50   94.96 F2              
 20.09 26.64 2137.43   94.70 F2F2            
 20.09 27.24 3012.91   94.63 F2F2F2          
  7.26 11.76 1798.35   94.39 F2              
  7.26 12.67 3146.53   94.36 F2F2            
  7.26  0.00    0.00    0.00                 
  8.13 12.55 1727.43   94.28 F2              
  8.13 13.59 3034.97   94.24 F2F2            
  8.13  0.00    0.00    0.00                 
  7.13 11.62 1808.47   95.10 F2              
  7.13 12.48 3167.19   95.07 F2F2            
  7.13  0.00    0.00    0.00                 
 11.06 15.26 1529.55   94.02 F2              
 11.06 16.71 2716.42   93.95 F2F2            
 11.06 16.60 3855.13   93.98 F2F2F2          
 21.34 25.74 1172.32   93.28 F2              
 21.34 28.13 2103.88   92.95 F2F2            
 21.34 28.87 2957.94   92.84 F2F2F2          
  0.00  0.00    0.00    0.00                 
